business_name,category,phone,email,website,state,city,suburb,postcode,lead_score,tier,first_seen_at
ACT SOLAR AND ELECTRICAL GROUP,electrician,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ACV CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AD CONSTRUCTIONS CANBERRA,builder,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
ADAPT PLUMBING ACT PTY LTD,plumbing,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ADORN CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ADVANCED ELECTRICAL CONTRACTORS PTY LTD,electrician,,,,ACT,Canberra,,2602,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AFFINITY CONSTRUCTIONS AUSTRALIA PTY LTD,builder,,,,ACT,Canberra,,2609,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AFFORDABLE SOLAR ACT PTY LTD,solar,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AGA AIR CONDITIONING PTY LTD,air conditioning,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AHA Air Conditioning,air conditioning,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AI CONSTRUCTIONS GROUP PTY LTD,builder,,,,ACT,Canberra,,2611,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AIM GROUP ELECTRICAL,electrician,,,,ACT,Canberra,,2607,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AIR CONDITIONING & REFRIGERATION CANBERRA PTY LTD,air conditioning,,,,ACT,Canberra,,2609,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AJC ELECTRICAL CANBERRA PTY LTD,electrician,,,,ACT,Canberra,,2906,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AK Commercial Construction (ACT) Pty Ltd,builder,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AK PRO PAINTING PTY LTD,painter,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
ALFA RENOVATIONS & BUILDING PTY LTD,builder,,,,ACT,Canberra,,2611,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ALJ CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2906,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
ALL ASPECTS PAINTING PTY LTD,painter,,,,ACT,Canberra,,2603,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ALL ASPECTS ROOFING ACT PTY LTD,roofer,,,,ACT,Canberra,,2609,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ALL CITY PAINTER PTY LTD,painter,,,,ACT,Canberra,,2605,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ALL TOP ROOFING PTY LTD,roofer,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
ALLAPIN PAINTING,painter,,,,ACT,Canberra,,2605,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
ALPHA WATERPROOFING ACT PTY LTD,roofer,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ALPHARD CONSTRUCTION PTY LTD,builder,,,,ACT,Canberra,,2611,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ALTIMA PAINTING SERVICES,painter,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ANA PAINTING SERVICES,painter,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ANCHOR BUILDERS PTY LTD,builder,,,,ACT,Canberra,,2902,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
ANCHORSTONE CONSTRUCTION MANAGEMENT SUPPORT SERVICES PTY LIMITED,builder,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
